date,ticker,open,high,low,close,volume,ma_10,ma_20,ema_20,momentum,volatility,next_day_return
2025-02-25,SPY,595.359,596.097,587.792,592.458,58266500,603.613,602.348,600.895,-17.1982,4.97219,0.000504799
2025-02-26,SPY,594.143,597.782,590.085,592.757,43321600,602.539,601.85,600.12,-18.3348,5.41262,-0.0159619
2025-02-27,SPY,595.06,596.226,582.897,583.295,74196700,600.714,601.015,598.518,-25.2541,6.81926,0.0156056
2025-02-28,SPY,583.804,592.936,580.693,592.398,88744100,599.164,600.473,597.935,-5.74274,7.06005,-0.01752
2025-03-03,SPY,594.392,595.548,578.161,582.019,74249200,596.578,599.573,596.419,-13.3997,8.17952,-0.0118369
2025-03-04,SPY,577.971,583.634,570.534,575.13,109648200,593.126,598.531,594.391,-17.3279,9.8248,0.0107478
2025-03-05,SPY,574.96,583.126,571.361,581.311,71230500,590.148,597.598,593.146,-11.4456,10.5407,-0.0177511
2025-03-06,SPY,573.754,578.43,568.41,570.992,80094900,586.392,596.027,591.036,-12.3029,12.0228,0.00560483
2025-03-07,SPY,569.188,575.658,563.934,574.193,81158800,583.997,594.512,589.432,-18.2053,12.7844,-0.0266356
2025-03-10,SPY,565.888,567.832,553.924,558.899,99326600,580.345,592.508,586.524,-23.1204,14.9974,-0.00831288
2025-03-11,SPY,557.722,562.328,550.364,554.253,88102100,576.525,590.069,583.45,-20.8772,17.025,0.00530654
2025-03-12,SPY,560.484,561.421,552.029,557.194,69588200,572.968,587.754,580.95,-24.1174,18.21,-0.0133305
2025-03-13,SPY,556.815,557.433,548.031,549.766,74079400,569.615,585.165,577.98,-21.2262,19.7606,0.0206558
2025-03-14,SPY,554.442,562.139,549.836,561.122,62660300,566.488,582.826,576.374,-13.0707,19.6962,0.00771138
2025-03-17,SPY,561.102,568.001,560.663,565.449,49008700,564.831,580.705,575.334,6.55029,19.1332,-0.0108085
2025-03-18,SPY,563.106,563.325,557.383,559.337,66041400,563.252,578.189,573.81,5.08472,18.4209,0.0108909
2025-03-19,SPY,561.142,569.238,559.946,565.429,66556000,561.663,575.906,573.012,8.23523,16.8948,-0.00289173
2025-03-20,SPY,561.641,568.859,560.913,563.794,62958200,560.944,573.668,572.134,14.0278,15.2249,0.000329862
2025-03-21,SPY,559.28,564.89,558.03,563.98,83763000,559.922,571.96,571.358,2.85797,14.2177,0.0179085
2025-03-24,SPY,570.8,575.15,570.2,574.08,58766800,561.44,570.893,571.617,8.63098,13.1232,0.00240385
2025-03-25,SPY,575.3,576.41,573.69,575.46,38355700,563.561,570.043,571.983,16.1226,12.1688,-0.0119383
2025-03-26,SPY,575.19,576.33,567.19,568.59,51848300,564.701,568.835,571.66,3.16095,10.9316,-0.00265571
2025-03-27,SPY,567.18,570.9,564.94,567.08,42164200,566.432,568.024,571.224,3.28601,10.3906,-0.0201383
2025-03-28,SPY,565.53,566.27,555.07,555.66,71662700,565.886,566.187,569.741,-8.32001,9.0105,0.00671281
2025-03-31,SPY,549.83,560.71,546.87,559.39,95328200,565.28,565.055,568.756,-14.69,8.31146,0.00282443
2025-04-01,SPY,557.45,562.94,553.68,560.97,54609600,565.443,564.347,568.014,-14.4901,8.00559,0.00632841
2025-04-02,SPY,555.05,567.42,554.81,564.52,76014500,565.352,563.508,567.681,-4.07001,6.94285,-0.0492808
