ticker,company,sector,location,founded_year,date_added
BRK-B,Berkshire Hathaway,Financials,Nebraska,1839,2010-02-16
BBY,Best Buy,Consumer Discretionary,Minnesota,1966,1999-06-29
TECH,Bio-Techne,Health Care,Minnesota,1976,2021-08-30
BIIB,Biogen,Health Care,Massachusetts,1978,2003-11-13
BLK,BlackRock,Financials,New York,1988,2011-04-04
BX,Blackstone Inc.,Financials,New York,1985,2023-09-18
BK,BNY Mellon,Financials,New York,1784,1995-03-31
BA,Boeing,Industrials,Virginia,1916,1957-03-04
BKNG,Booking Holdings,Consumer Discretionary,Connecticut,1996,2009-11-06
BSX,Boston Scientific,Health Care,Massachusetts,1979,1995-02-24
BMY,Bristol Myers Squibb,Health Care,New York,1989,1957-03-04
AVGO,Broadcom,Information Technology,California,1961,2014-05-08
BR,Broadridge Financial Solutions,Industrials,New York,1962,2018-06-18
BRO,Brown & Brown,Financials,Florida,1939,2021-09-20
BF-B,Brown–Forman,Consumer Staples,Kentucky,1870,1982-10-31
BLDR,Builders FirstSource,Industrials,Texas,1998,2023-12-18
BG,Bunge Global,Consumer Staples,Missouri,1818,2023-03-15
BXP,"BXP, Inc.",Real Estate,Massachusetts,1970,2006-04-03
CHRW,C.H. Robinson,Industrials,Minnesota,1905,2007-03-02
CDNS,Cadence Design Systems,Information Technology,California,1988,2017-09-18
CZR,Caesars Entertainment,Consumer Discretionary,Nevada,1973,2021-03-22
CPT,Camden Property Trust,Real Estate,Texas,1981,2022-04-04
CPB,Campbell's Company (The),Consumer Staples,New Jersey,1869,1957-03-04
COF,Capital One,Financials,Virginia,1994,1998-07-01
CAH,Cardinal Health,Health Care,Ohio,1971,1997-05-27
KMX,CarMax,Consumer Discretionary,Virginia,1993,2010-06-28
CCL,Carnival,Consumer Discretionary,Florida,1972,1998-12-22
CARR,Carrier Global,Industrials,Florida,2020,2020-04-03
CAT,Caterpillar Inc.,Industrials,Texas,1925,1957-03-04
CBOE,Cboe Global Markets,Financials,Illinois,1973,2017-03-01
CBRE,CBRE Group,Real Estate,Texas,1906,2006-11-10
CDW,CDW Corporation,Information Technology,Illinois,1984,2019-09-23
COR,Cencora,Health Care,Pennsylvania,1985,2001-08-30
CNC,Centene Corporation,Health Care,Missouri,1984,2016-03-30
CNP,CenterPoint Energy,Utilities,Texas,1882,1985-07-31
CF,CF Industries,Materials,Illinois,1946,2008-08-27
CRL,Charles River Laboratories,Health Care,Massachusetts,1947,2021-05-14
SCHW,Charles Schwab Corporation,Financials,Texas,1971,1997-06-02
CHTR,Charter Communications,Communication Services,Connecticut,1993,2016-09-08
CVX,Chevron Corporation,Energy,California,1879,1957-03-04
CMG,Chipotle Mexican Grill,Consumer Discretionary,California,1993,2011-04-28
CB,Chubb Limited,Financials,Switzerland,1985,2010-07-15
CHD,Church & Dwight,Consumer Staples,New Jersey,1847,2015-12-29
CI,Cigna,Health Care,Connecticut,1982,1976-06-30
CINF,Cincinnati Financial,Financials,Ohio,1950,1997-12-18
CTAS,Cintas,Industrials,Ohio,1929,2001-03-01
CSCO,Cisco,Information Technology,California,1984,1993-12-01
C,Citigroup,Financials,New York,1998,1988-05-31
CFG,Citizens Financial Group,Financials,Rhode Island,1828,2016-01-29
CLX,Clorox,Consumer Staples,California,1913,1969-03-31
CME,CME Group,Financials,Illinois,1848,2006-08-11
CMS,CMS Energy,Utilities,Michigan,1886,1957-03-04
KO,Coca-Cola Company (The),Consumer Staples,Georgia,1886,1957-03-04
CTSH,Cognizant,Information Technology,New Jersey,1994,2006-11-17
CL,Colgate-Palmolive,Consumer Staples,New York,1806,1957-03-04
CMCSA,Comcast,Communication Services,Pennsylvania,1963,2002-11-19
CAG,Conagra Brands,Consumer Staples,Illinois,1919,1983-08-31
